,layer,alpha,intervs,success_rate
0,0,4,1,0.785
1,1,4,1,0.2
2,2,4,1,0.665
3,3,4,1,0.495
4,4,4,1,0.53
5,5,4,1,0.325
6,6,4,1,0.08
7,7,4,1,0.11
8,8,4,1,0.06
9,9,4,1,0.045
10,10,4,1,0.035
11,11,4,1,0.035
12,12,4,1,0.105
13,13,4,1,0.205
14,14,4,1,0.055
15,15,4,1,0.125
16,16,4,1,0.095
17,17,4,1,0.125
18,18,4,1,0.03
19,19,4,1,0.005
20,20,4,1,0.005
21,21,4,1,0.0
22,22,4,1,0.0
23,23,4,1,0.0
24,24,4,1,0.0
25,25,4,1,0.0
26,26,4,1,0.005
27,27,4,1,0.035
28,28,4,1,0.005
29,29,4,1,0.0
30,30,4,1,0.065
31,31,4,1,0.0
32,32,4,1,0.025
33,33,4,1,0.0
34,34,4,1,0.015
35,35,4,1,0.0
36,36,4,1,0.0
37,37,4,1,0.005
38,38,4,1,0.005
39,39,4,1,0.005
40,40,4,1,0.005
41,41,4,1,0.01
42,42,4,1,0.0
43,43,4,1,0.005
44,44,4,1,0.0
45,45,4,1,0.0
46,46,4,1,0.0
47,47,4,1,0.0
